FrageSubjekt;AntwortSubjekt;InfoUrlFrage;InfoUrlAntwort
Mona Lisa (1503);Leonardo da Vinci (1452-1519);https://de.wikipedia.org/wiki/Mona_Lisa;https://de.wikipedia.org/wiki/Leonardo_da_Vinci
Sternennacht (1889);Vincent van Gogh (1853-1890);https://de.wikipedia.org/wiki/Die_Sternennacht;https://de.wikipedia.org/wiki/Vincent_van_Gogh
Das letzte Abendmahl (1498);Leonardo da Vinci (1452-1519);https://de.wikipedia.org/wiki/Das_Abendmahl_(Leonardo_da_Vinci);https://de.wikipedia.org/wiki/Leonardo_da_Vinci
Die Erschaffung Adams (1512);Michelangelo (1475 - 1564);https://de.wikipedia.org/wiki/Die_Erschaffung_Adams;https://de.wikipedia.org/wiki/Michelangelo
Die große Welle von Kanagawa (1831);Katsushika Hokusai (1760 - 1849);https://de.wikipedia.org/wiki/Die_Gro%C3%9Fe_Welle_vor_Kanagawa;https://de.wikipedia.org/wiki/Katsushika_Hokusai
Mädchen mit Perlenohrring (1665);Johannes Vermeer (1632-1675);https://de.wikipedia.org/wiki/Das_M%C3%A4dchen_mit_dem_Perlenohrring;https://de.wikipedia.org/wiki/Johannes_Vermeer
Guernica (1937);Pablo Picasso (1881-1973);https://de.wikipedia.org/wiki/Guernica_(Gem%C3%A4lde);https://de.wikipedia.org/wiki/Pablo_Picasso
Der Kuss (1907–08);Gustav Klimt (1862 - 1918);https://de.wikipedia.org/wiki/Der_Kuss_(Klimt);https://de.wikipedia.org/wiki/Gustav_Klimt
Die Geburt der Venus (1486);Sandro Botticelli (1445-1510);https://de.wikipedia.org/wiki/Die_Geburt_der_Venus;https://de.wikipedia.org/wiki/Sandro_Botticelli
Der Schrei (1893);Edvard Munch (1863-1944);https://de.wikipedia.org/wiki/Der_Schrei;https://de.wikipedia.org/wiki/Edvard_Munch
Die Freiheit führt das Volk (1830);Eugène Delacroix (1798 - 1863);https://de.wikipedia.org/wiki/Die_Freiheit_f%C3%BChrt_das_Volk;https://de.wikipedia.org/wiki/Eug%C3%A8ne_Delacroix
Las Meninas (1656);Diego Velázquez (1599 - 1660);https://de.wikipedia.org/wiki/Las_Meninas;https://de.wikipedia.org/wiki/Diego_Vel%C3%A1zquez
Das Mädchen mit dem roten Hut (ca. 1665);Johannes Vermeer (1632-1675);https://de.wikipedia.org/wiki/Johannes_Vermeer#Ausgew%C3%A4hlte_Werke;https://de.wikipedia.org/wiki/Johannes_Vermeer
Das Floß der Medusa (1819);Théodore Géricault (1791 - 1824);https://de.wikipedia.org/wiki/Das_Flo%C3%9F_der_Medusa;https://de.wikipedia.org/wiki/Th%C3%A9odore_G%C3%A9ricault
Arnolfini-Hochzeit (1434);Jan van Eyck (1390 - 1441);https://de.wikipedia.org/wiki/Die_Arnolfini-Hochzeit;https://de.wikipedia.org/wiki/Jan_van_Eyck
Der Garten der Lüste (ca. 1500);Hieronymus Bosch (1450 - 1516);https://de.wikipedia.org/wiki/Garten_der_L%C3%BCste;https://de.wikipedia.org/wiki/Hieronymus_Bosch
Amerikanische Gotik (1930);Grant Wood (1891 - 1942);https://de.wikipedia.org/wiki/Amerikanische_Gotik;https://de.wikipedia.org/wiki/Grant_Wood
Die Schule von Athen (1511);Raffael (1483 - 1520);https://de.wikipedia.org/wiki/Die_Schule_von_Athen;https://de.wikipedia.org/wiki/Raffael
Das Frühstück im Grünen (1863);Édouard Manet (1832 - 1883);https://de.wikipedia.org/wiki/Das_Fr%C3%BChst%C3%BCck_im_Gr%C3%BCnen;https://de.wikipedia.org/wiki/%C3%89douard_Manet
Die Beständigkeit der Erinnerung (1931);Salvador Dalí (1904-1989);https://de.wikipedia.org/wiki/Die_Best%C3%A4ndigkeit_der_Erinnerung;https://de.wikipedia.org/wiki/Salvador_Dal%C3%AD
Die Anatomie des Dr. Tulp (1632);Rembrandt (1606-1669);https://de.wikipedia.org/wiki/Die_Anatomie_des_Dr._Tulp;https://de.wikipedia.org/wiki/Rembrandt
Selbstbildnis mit Dornenhalsband (1940);Frida Kahlo (1907-1954);https://de.wikipedia.org/wiki/Frida_Kahlo#Malerei;https://de.wikipedia.org/wiki/Frida_Kahlo
Die Nachtwache (1642);Rembrandt (1606-1669);https://de.wikipedia.org/wiki/Die_Nachtwache;https://de.wikipedia.org/wiki/Rembrandt
