FrageSubjekt;AntwortSubjekt;InfoUrlFrage;InfoUrlAntwort
Die Kartenspieler (1890–1892);Paul Cézanne (1839 - 1906);https://de.wikipedia.org/wiki/Die_Kartenspieler_(C%C3%A9zanne);https://de.wikipedia.org/wiki/Paul_C%C3%A9zanne
Das Frühstück der Ruderer (1881);Pierre-Auguste Renoir (1841 - 1919);https://de.wikipedia.org/wiki/Das_Fr%C3%BChst%C3%BCck_der_Ruderer;https://de.wikipedia.org/wiki/Pierre-Auguste_Renoir
Die kleine Tänzerin (1881);Edgar Degas (1834 - 1917);https://de.wikipedia.org/wiki/Die_kleine_T%C3%A4nzerin;https://de.wikipedia.org/wiki/Edgar_Degas
Das Narrenschiff (1494);Hieronymus Bosch (1450 - 1516);https://de.wikipedia.org/wiki/Das_Narrenschiff_(Bosch);https://de.wikipedia.org/wiki/Hieronymus_Bosch
Nighthawks (1942);Edward Hopper (1882-1967);https://de.wikipedia.org/wiki/Nighthawks_(Gem%C3%A4lde);https://de.wikipedia.org/wiki/Edward_Hopper
Impression, Sonnenaufgang (1872);Claude Monet (1840-1926);https://de.wikipedia.org/wiki/Impression,_Sonnenaufgang;https://de.wikipedia.org/wiki/Claude_Monet
Bal du moulin de la Galette (1876);Pierre-Auguste Renoir (1841 - 1919);https://de.wikipedia.org/wiki/Bal_du_moulin_de_la_Galette;https://de.wikipedia.org/wiki/Pierre-Auguste_Renoir
Der Wanderer über dem Nebelmeer (1818);Caspar David Friedrich (1774-1840);https://de.wikipedia.org/wiki/Der_Wanderer_über_dem_Nebelmeer;https://de.wikipedia.org/wiki/Caspar_David_Friedrich
Das Eismeer (1823–1824);Caspar David Friedrich (1774-1840);https://de.wikipedia.org/wiki/Das_Eismeer_(Caspar_David_Friedrich);https://de.wikipedia.org/wiki/Caspar_David_Friedrich
Guernica (1937);Pablo Picasso (1881-1973);https://de.wikipedia.org/wiki/Guernica_(Bild);https://de.wikipedia.org/wiki/Pablo_Picasso
Die Frauen von Algier (1955);Pablo Picasso (1881-1973);https://de.wikipedia.org/wiki/Die_Frauen_von_Algier;https://de.wikipedia.org/wiki/Pablo_Picasso
Die Tänzerin (1874);Edgar Degas (1834 - 1917);https://de.wikipedia.org/wiki/Edgar_Degas;https://de.wikipedia.org/wiki/Edgar_Degas
Große Welle vor Kanagawa (ca. 1831);Katsushika Hokusai (1760 - 1849);https://de.wikipedia.org/wiki/Die_gro%C3%9Fe_Welle_vor_Kanagawa;https://de.wikipedia.org/wiki/Katsushika_Hokusai
Die Geburt der Venus (ca. 1485);Sandro Botticelli (1445-1510);https://de.wikipedia.org/wiki/Die_Geburt_der_Venus;https://de.wikipedia.org/wiki/Sandro_Botticelli
Primavera (Frühling) (ca. 1482);Sandro Botticelli (1445-1510);https://de.wikipedia.org/wiki/Primavera_(Botticelli);https://de.wikipedia.org/wiki/Sandro_Botticelli
Selbstbildnis (1889);Vincent van Gogh (1853-1890);https://de.wikipedia.org/wiki/Vincent_van_Gogh#Selbstportr%C3%A4ts;https://de.wikipedia.org/wiki/Vincent_van_Gogh
Der Schrei (1893);Edvard Munch (1863-1944);https://de.wikipedia.org/wiki/Der_Schrei;https://de.wikipedia.org/wiki/Edvard_Munch
Christus im Sturm auf dem See Genezareth (1633);Rembrandt (1606-1669);https://de.wikipedia.org/wiki/Rembrandt;https://de.wikipedia.org/wiki/Rembrandt
Das Urteil des Paris (1636);Peter Paul Rubens (1577 - 1640);https://de.wikipedia.org/wiki/Peter_Paul_Rubens;https://de.wikipedia.org/wiki/Peter_Paul_Rubens
Die drei Grazien (1639);Peter Paul Rubens (1577 - 1640);https://de.wikipedia.org/wiki/Die_drei_Grazien_(Rubens);https://de.wikipedia.org/wiki/Peter_Paul_Rubens
Schlafende Venus (1510);Giorgione (1477 - 1510);https://de.wikipedia.org/wiki/Schlafende_Venus;https://de.wikipedia.org/wiki/Giorgione
Junge Frau mit Einhorn (1506);Raffael (1483 - 1520);https://de.wikipedia.org/wiki/Junge_Frau_mit_Einhorn;https://de.wikipedia.org/wiki/Raffael
Die Rückkehr des verlorenen Sohnes (1668);Rembrandt (1606-1669);https://de.wikipedia.org/wiki/Die_R%C3%BCckkehr_des_verlorenen_Sohnes_(Rembrandt);https://de.wikipedia.org/wiki/Rembrandt
Die Madonna von Loreto (1604);Caravaggio (1571 - 1610);https://de.wikipedia.org/wiki/Caravaggio;https://de.wikipedia.org/wiki/Caravaggio
Judith enthauptet Holofernes (1599);Caravaggio (1571 - 1610);https://de.wikipedia.org/wiki/Judith_und_Holofernes_(Caravaggio);https://de.wikipedia.org/wiki/Caravaggio
Mädchen mit Pfirsichen (1887);Walentin Serow (1865 - 1911);https://de.wikipedia.org/wiki/Walentin_Alexandrowitsch_Serow;https://de.wikipedia.org/wiki/Walentin_Alexandrowitsch_Serow
Die Kindheit der Maria (1849);Dante Gabriel Rossetti (1828 - 1882);https://de.wikipedia.org/wiki/Dante_Gabriel_Rossetti;https://de.wikipedia.org/wiki/Dante_Gabriel_Rossetti
Die Musikstunde (1662–1665);Jan Vermeer (1632 - 1675);https://de.wikipedia.org/wiki/Die_Musikstunde;https://de.wikipedia.org/wiki/Jan_Vermeer
Das Frühstück im Grünen (1863);Édouard Manet (1832 - 1883);https://de.wikipedia.org/wiki/Das_Fr%C3%BChst%C3%BCck_im_Gr%C3%BCnen;https://de.wikipedia.org/wiki/%C3%89douard_Manet
Impression, Sonnenaufgang (1872);Claude Monet (1840-1926);https://de.wikipedia.org/wiki/Impression,_Sonnenaufgang;https://de.wikipedia.org/wiki/Claude_Monet
Seerosen (1906);Claude Monet (1840-1926);https://de.wikipedia.org/wiki/Seerosen_(Monet);https://de.wikipedia.org/wiki/Claude_Monet
Bal du moulin de la Galette (1876);Pierre-Auguste Renoir (1841 - 1919);https://de.wikipedia.org/wiki/Bal_du_moulin_de_la_Galette;https://de.wikipedia.org/wiki/Pierre-Auguste_Renoir
Porträt der Adele Bloch-Bauer I (1907);Gustav Klimt (1862 - 1918);https://de.wikipedia.org/wiki/Portr%C3%A4t_der_Adele_Bloch-Bauer_I;https://de.wikipedia.org/wiki/Gustav_Klimt
Der Kuss (1908);Gustav Klimt (1862 - 1918);https://de.wikipedia.org/wiki/Der_Kuss_(Klimt);https://de.wikipedia.org/wiki/Gustav_Klimt
Der Baum des Lebens (1909);Gustav Klimt (1862 - 1918);https://de.wikipedia.org/wiki/Baum_des_Lebens;https://de.wikipedia.org/wiki/Gustav_Klimt
Komposition VII (1913);Wassily Kandinsky (1866 - 1944);https://de.wikipedia.org/wiki/Komposition_VII;https://de.wikipedia.org/wiki/Wassily_Kandinsky
Schwarzer Fleck I (1912);Wassily Kandinsky (1866 - 1944);https://de.wikipedia.org/wiki/Wassily_Kandinsky;https://de.wikipedia.org/wiki/Wassily_Kandinsky
Der alte Gitarrist (1903);Pablo Picasso (1881-1973);https://de.wikipedia.org/wiki/Der_alte_Gitarrist;https://de.wikipedia.org/wiki/Pablo_Picasso
Die Beständigkeit der Erinnerung (1931);Salvador Dalí (1904-1989);https://de.wikipedia.org/wiki/Die_Best%C3%A4ndigkeit_der_Erinnerung;https://de.wikipedia.org/wiki/Salvador_Dal%C3%AD
Galatea der Sphären (1952);Salvador Dalí (1904-1989);https://de.wikipedia.org/wiki/Salvador_Dal%C3%AD;https://de.wikipedia.org/wiki/Salvador_Dal%C3%AD
Campbell's Soup Cans (1962);Andy Warhol (1928 - 1987);https://de.wikipedia.org/wiki/Campbell%E2%80%99s_Soup_Cans;https://de.wikipedia.org/wiki/Andy_Warhol
Marilyn Diptych (1962);Andy Warhol (1928 - 1987);https://de.wikipedia.org/wiki/Marilyn_Diptych;https://de.wikipedia.org/wiki/Andy_Warhol
Broadway Boogie Woogie (1942–1943);Piet Mondrian (1872 - 1944);https://de.wikipedia.org/wiki/Broadway_Boogie_Woogie;https://de.wikipedia.org/wiki/Piet_Mondrian
Victory Boogie Woogie (1944);Piet Mondrian (1872 - 1944);https://de.wikipedia.org/wiki/Victory_Boogie_Woogie;https://de.wikipedia.org/wiki/Piet_Mondrian
Schreiende Frau (1927);Otto Dix (1891 - 1969);https://de.wikipedia.org/wiki/Otto_Dix;https://de.wikipedia.org/wiki/Otto_Dix
Metropolis (1927);George Grosz (1893 - 1959);https://de.wikipedia.org/wiki/George_Grosz;https://de.wikipedia.org/wiki/George_Grosz
Die Stadt (1916);Fernand Léger (1881 - 1955);https://de.wikipedia.org/wiki/Fernand_L%C3%A9ger;https://de.wikipedia.org/wiki/Fernand_L%C3%A9ger
Die große Straße (1931);Balthus (1908 - 2001);https://de.wikipedia.org/wiki/Balthus;https://de.wikipedia.org/wiki/Balthus
Der Pfeifenraucher (1890);Paul Cézanne (1839 - 1906);https://de.wikipedia.org/wiki/Paul_C%C3%A9zanne;https://de.wikipedia.org/wiki/Paul_C%C3%A9zanne
Selbstbildnis mit verbranntem Arm (1946);Frida Kahlo (1907-1954);https://de.wikipedia.org/wiki/Frida_Kahlo;https://de.wikipedia.org/wiki/Frida_Kahlo
Zwei Fridas (1939);Frida Kahlo (1907-1954);https://de.wikipedia.org/wiki/Die_zwei_Fridas;https://de.wikipedia.org/wiki/Frida_Kahlo
Die große Odaliske (1814);Jean-Auguste-Dominique Ingres (1780 - 1867);https://de.wikipedia.org/wiki/Die_gro%C3%9Fe_Odaliske;https://de.wikipedia.org/wiki/Jean-Auguste-Dominique_Ingres
Napoleon auf dem Großen St. Bernhard (1801);Jacques-Louis David (1748 - 1825);https://de.wikipedia.org/wiki/Napoleon_auf_dem_Gro%C3%9Fen_St._Bernhard;https://de.wikipedia.org/wiki/Jacques-Louis_David
Der Tod des Sokrates (1787);Jacques-Louis David (1748 - 1825);https://de.wikipedia.org/wiki/Der_Tod_des_Sokrates;https://de.wikipedia.org/wiki/Jacques-Louis_David
Die Freiheit führt das Volk (1830);Eugène Delacroix (1798 - 1863);https://de.wikipedia.org/wiki/Die_Freiheit_f%C3%BChrt_das_Volk;https://de.wikipedia.org/wiki/Eug%C3%A8ne_Delacroix
Die Bar in den Folies-Bergère (1882);Édouard Manet (1832 - 1883);https://de.wikipedia.org/wiki/Die_Bar_in_den_Folies-Berg%C3%A8re;https://de.wikipedia.org/wiki/%C3%89douard_Manet
Die Geburt der Galaxie (1940);Yves Tanguy (1900 - 1955);https://de.wikipedia.org/wiki/Yves_Tanguy;https://de.wikipedia.org/wiki/Yves_Tanguy
Rote Rehe (1912);Franz Marc (1880 - 1916);https://de.wikipedia.org/wiki/Franz_Marc;https://de.wikipedia.org/wiki/Franz_Marc
Türkisches Café (1915);August Macke (1887 - 1914);https://de.wikipedia.org/wiki/August_Macke;https://de.wikipedia.org/wiki/August_Macke
Tanz (1910);Henri Matisse (1869 - 1954);https://de.wikipedia.org/wiki/Henri_Matisse;https://de.wikipedia.org/wiki/Henri_Matisse
Musik (1910);Henri Matisse (1869 - 1954);https://de.wikipedia.org/wiki/Henri_Matisse;https://de.wikipedia.org/wiki/Henri_Matisse
Komposition VIII (1923);Wassily Kandinsky (1866 - 1944);https://de.wikipedia.org/wiki/Wassily_Kandinsky;https://de.wikipedia.org/wiki/Wassily_Kandinsky
Selbstbildnis mit Stachelhalsband (1940);Frida Kahlo (1907-1954);https://de.wikipedia.org/wiki/Frida_Kahlo;https://de.wikipedia.org/wiki/Frida_Kahlo
Las Meninas (1656);Diego Velázquez (1599 - 1660);https://de.wikipedia.org/wiki/Las_Meninas;https://de.wikipedia.org/wiki/Diego_Vel%C3%A1zquez
Die Spinnerinnen (1657);Diego Velázquez (1599 - 1660);https://de.wikipedia.org/wiki/Die_Spinnerinnen;https://de.wikipedia.org/wiki/Diego_Vel%C3%A1zquez
Hunde im Schnee (1911);Franz Marc (1880 - 1916);https://de.wikipedia.org/wiki/Franz_Marc;https://de.wikipedia.org/wiki/Franz_Marc
Der Hafen von Hamburg (1907);Lyonel Feininger (1871 - 1956);https://de.wikipedia.org/wiki/Lyonel_Feininger;https://de.wikipedia.org/wiki/Lyonel_Feininger
Geburt einer Galaxie (1942);Yves Tanguy (1900 - 1955);https://de.wikipedia.org/wiki/Yves_Tanguy;https://de.wikipedia.org/wiki/Yves_Tanguy
Dynamismus eines Hundes an der Leine (1912);Giacomo Balla (1871 - 1958);https://de.wikipedia.org/wiki/Giacomo_Balla;https://de.wikipedia.org/wiki/Giacomo_Balla
Das schwarze Quadrat (1915);Kasimir Malewitsch (1879 - 1935);https://de.wikipedia.org/wiki/Das_schwarze_Quadrat;https://de.wikipedia.org/wiki/Kasimir_Malewitsch
Improvisation 28 (1912);Wassily Kandinsky (1866 - 1944);https://de.wikipedia.org/wiki/Wassily_Kandinsky;https://de.wikipedia.org/wiki/Wassily_Kandinsky
Weiße Kreuzung (1920);Kasimir Malewitsch (1879 - 1935);https://de.wikipedia.org/wiki/Kasimir_Malewitsch;https://de.wikipedia.org/wiki/Kasimir_Malewitsch
Blaues Pferd I (1911);Franz Marc (1880 - 1916);https://de.wikipedia.org/wiki/Blaues_Pferd_I;https://de.wikipedia.org/wiki/Franz_Marc
Composition II in Red, Blue and Yellow (1930);Piet Mondrian (1872 - 1944);https://de.wikipedia.org/wiki/Piet_Mondrian;https://de.wikipedia.org/wiki/Piet_Mondrian
Der Turmbau zu Babel (1563);Pieter Bruegel der Ältere (1525 - 1569);https://de.wikipedia.org/wiki/Der_Turmbau_zu_Babel;https://de.wikipedia.org/wiki/Pieter_Bruegel_der_%C3%84ltere
Nighthawks (1942);Edward Hopper (1882-1967);https://de.wikipedia.org/wiki/Nighthawks;https://de.wikipedia.org/wiki/Edward_Hopper
Der arme Poet (1839);Carl Spitzweg (1808-1885);https://de.wikipedia.org/wiki/Der_arme_Poet;https://de.wikipedia.org/wiki/Carl_Spitzweg
